The Rental Home Co,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit and Loss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"January 1-December 31, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,Ford Expedition Max White,Operating,Personal,Rental Home Co,4608 Woodsong Ln,Church Street Duplexes,Total for Rental Home Co,Second Mile,100 Crown Colony Ct,101 Century Hill Ct.,104 Penny Lane,105 Peach Blossom Ct.,115 Elm Street,120 Argus Circle,133 Armanda,139 E Chateu,191 Konika Court,216 Stirlington Rd,233 Lecia Lane,300 Elders Pond Circle,359 Quiet Grove Drive,511 Kyzer Rd,511 Plum Tree Ct,522 Long Terrace,661 Spanish Oak Dr.,7360 Two Notch Rd,946 Brookfield Drive,Total for Second Mile,Trading,Not specified,Total
Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total for 710 General Expenses,3.00,"10,125.82",$0.00,$0.00,1.50,$0.00,1.50,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,10.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,10.00,303.15,$0.00,"$10,443.47"
720 Insurance,,"5,767.57",,,862.85,"3,174.36","4,037.21",,808.08,784.69,"1,311.17",,876.18,782.20,,,869.57,678.93,,818.06,743.99,,805.40,,,,827.14,"9,305.41",,,"19,110.19"
730 Interest Paid,"2,987.10","25,119.68",,,"5,509.81","15,075.87","20,585.68",,,,"6,341.37","1,500.00",,,,,"6,358.50",,,,,"1,702.52",,750.00,"1,500.00","1,026.00",,"19,178.39",,"2,364.14","70,234.99"
740 Legal & Professional Fees,,"1,054.88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,054.88"
740.01 Accountant,,315.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315.00
Total for 740 Legal & Professional Fees,$0.00,"1,369.88",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$1,369.88"
750 Charity,,,"1,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,000.00"
765 Payroll Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
765.02 Payroll Tax,,"1,604.62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,604.62"
765.03 Payroll Fee,,609.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,609.35
Officer Salaries,,"20,000.04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,000.04"
Total for 765 Payroll Expense,$0.00,"22,214.01",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$22,214.01"
770 Taxes Paid,,767.31,"3,492.20",,"3,191.82","9,917.07","13,108.89",,"3,186.71","2,380.14","3,327.35",12.06,"3,047.97","1,243.08",,-856.96,"1,146.47","2,137.11","3,488.04","2,961.40","3,967.08",,"3,689.21",,60.84,166.97,"1,837.08","31,794.55",,,"49,162.95"
780 Travel,228.82,129.84,53.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,411.66
785 Mileage,,"5,490.40",,,,,,,,,,,,,,,,,,,,,,,,,,,,95.01,"5,585.41"
Total for Expenses,"3,218.92","73,263.05","4,545.20",$0.00,"12,218.30","36,660.82","48,879.12",$0.00,"4,306.86","6,447.52","15,220.23","1,512.06","4,468.14","4,325.67",10.00,-856.96,"8,957.78","3,433.92","3,488.04","3,974.51","8,666.81","1,702.52","6,398.51",750.00,"1,560.84","1,192.97","5,466.69","81,026.11",303.15,"2,459.15","$213,694.70"
Net Operating Income,"-3,218.92","-73,263.05","-4,545.20",$0.00,"5,704.70","34,754.18","40,458.88",$0.00,"15,489.14","13,712.48","6,349.77","14,583.10","16,831.86","13,409.33","-2,673.75","-1,738.79","6,542.22","9,921.08","-5,466.19","14,700.49","13,025.47",-437.00,"11,396.49","4,642.60","6,169.81","30,164.29","12,869.31","179,491.71",-303.15,"-2,459.15","$136,161.12"
Other Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800.02 Amortization Expense ( 230 ),,450.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450.07
900.02 Depreciation Expense,,"31,750.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31,750.00"
Total for Other Expenses,$0.00,"32,200.07",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$32,200.07"
Net Other Income,$0.00,"-32,200.07",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"-$32,200.07"
Net Income,"-3,218.92","-105,463.12","-4,545.20",$0.00,"5,704.70","34,754.18","40,458.88",$0.00,"15,489.14","13,712.48","6,349.77","14,583.10","16,831.86","13,409.33","-2,673.75","-1,738.79","6,542.22","9,921.08","-5,466.19","14,700.49","13,025.47",-437.00,"11,396.49","4,642.60","6,169.81","30,164.29","12,869.31","179,491.71",-303.15,"-2,459.15","$103,961.05"



"Cash Basis Tuesday, June 30, 2026 05:32 PM GMTZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
